CODIGO;TIPO;LOCALIDADE;AUTORES;TITULO;SUBTITULO;EDITORA;ANO;QTD_EXEMPLARES
649;Livro;Biblioteca SGA;Lobato, Monteiro;Mister Slang e o Brasil;;Globo;2008;2
650;Livro;Biblioteca SGA;Lobato, Monteiro;O Saci-Pererê;resultado de um inquérito;Globo;2008;2
651;Livro;Biblioteca SGA;Lobato, Monteiro;Conferências, artigos e crônicas;;Globo;2010;2
652;Livro;Biblioteca SGA;Cury, Augusto;Treine o seu cérebro para provas;;Método;2018;2
653;Livro;Biblioteca SGA;Lobato, Monteiro;Prefácios e entrevistas;;Globo;2009;2
654;Livro;Biblioteca SGA;Lobato, Monteiro;Fragmentos, opiniões e miscelânea;;Globo;2010;2
655;Livro;Biblioteca SGA;Couto, Mia;O fio das missangas;;Companhia das Letras;2009;2
656;Livro;Biblioteca SGA;SANTOS, Clécia;Angel, brisas e poesias;;Offset;2014;4
662;Livro;Biblioteca SGA;Lobato, Monteiro, Guazzelli;Viagem ao céu;;Ciranda Cultural;2019;2
663;Livro;Biblioteca SGA;Santos, José Luiz dos;O que é cultura;;Brasiliense;2017;2
664;Livro;Biblioteca SGA;Silva, Janduhi Medeiros de Souza e;Calçada de bodega;;Edição do autor;2013;1
665;Livro;Biblioteca SGA;;Romanceiro da Inconfidência ;;Nova Fronteira;2005;2
666;Livro;Biblioteca SGA;Gaiman, Neil, Barreiros, Edmundo;Mitologia Nórdica;;Intrínseca;2017;5
667;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de matemática Elementar 1;Conjuntos, funções ;Atual ;2013;2
668;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de matemática elementar 2;Logaritmos ;Atual ;2013;2
669;Livro;Biblioteca SGA;Green, John, Barreiros, Edmundo;Quem é você, Alasca?;;Intrínseca;2015;4
670;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de Matemática elementar 3;Trigonometria ;Atual ;2013;2
671;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de Matemática Elementar 4;Sequências, matrizes determinantes e sistemas ;Atual ;2013;2
672;Livro;Biblioteca SGA;Kruszelnicki, Karl;Grandes mitos da ciência;;Fundamento educacional;2013;6
673;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de Matemática elementar 6;complexos polinômios equações ;Atual ;2013;2
674;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de matemática Elementar 7;Geometria analítica;Atual ;2013;2
675;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de matemática elementar 8;Limites, derivadas, noções de integral;Atual ;2013;2
676;Livro;Biblioteca SGA;Lezzi, Gelson;Fundamentos de matemática elementar 11;Matemática comercial, matemática financeira , estatística descritiva ;Atual ;2013;2
679;Livro;Biblioteca SGA;Acopiara, Moreira, Ramos, Severino;Canudos e a saga de Antônio Conselheiro;;Duna Dueto;2013;2
680;Livro;Biblioteca SGA;Acopiara, Moreira, Behar, Michelle;Medo ? Eu, hem ?;;Duna Dueto;2009;2
681;Livro;Biblioteca SGA;Stumpenhors, Josh, Joscelyne, Vera;A nova revolução do professor;práticas pedagógicas para ma nova geração de aluno;Vozes;2018;3
682;Livro;Biblioteca SGA;Federici, Silvia;Calibã e a bruxa;mulheres, corpo e acumulação primitiva;Elefante;2017;3
683;Livro;Biblioteca SGA;Bond, Gwenda;Stranger Things;raízes do mal;Intrínseca;2019;4
684;Livro;Biblioteca SGA;Bond, Gwenda;Stranger Things;cidade nas trevas;Intrínseca;2019;4
685;Livro;Biblioteca SGA;King, Stephen;Cujo;;Suma das Letras;2016;4
686;Livro;Biblioteca SGA;King, Stephen;A hora do Lobisomen;;Suma das Letras;2017;4
687;Livro;Biblioteca SGA;King, Stephen;It: a coisa;;Objetiva;2014;3
688;Livro;Biblioteca SGA;Staunton, Ted;Os sete;como nos filmes;Fundamento Editora;2015;2
689;Livro;Biblioteca SGA;Wilson, Jonh;Os sete;causa perdida;Fundamento Editora;2015;2
690;Livro;Biblioteca SGA;Walters, Eric;Os sete;entre o céu e a terra;Fundamento Editora;2015;2
691;Livro;Biblioteca SGA;Park, Mac;Boy x beast 1;batalha dos mundos: aquatan;Fundamento Editora;2013;2
693;Livro;Biblioteca SGA;Fayet, Eduardo Alves, Reis, Dalcio, Rocca, Edgar, Reis Junior, Dalcio, Lopes, Fernanda;Gerenciar a inovação;um desafio para as empresas;IEL/PR;2010;2
694;Livro;Biblioteca SGA;Tudor, C.J.;O Homem de Giz ;;Intrínseca;2018;2
696;Livro;Biblioteca SGA;Aveyard, Victoria , Clemente, Cristian;A Rainha vermelha ;; Editora Seguinte ;2015;2
697;Livro;Biblioteca SGA;Aveyard, Victoria ;Espada de Vidro ;;Editora Seguinte ;2016;2
698;Livro;Biblioteca SGA;Aveyard, Victoria ;A prisão do rei ;;Editora Seguinte ;2017;3
700;Livro;Biblioteca SGA;Park, Mac;Boy x beast 2;batalha dos mundos: terradon;Fundamento Editora;2013;2
701;Livro;Biblioteca SGA;CLEAVE, Paul ;Herdeiro da escuridão ;;Fundamento educacional;2011;2
702;Livro;Biblioteca SGA;Assis, Machado de, Mir, Alex, Majada, Caio;Dom Casmurro;em quadrinho;Ciranda Cultural;2019;2
703;Livro;Biblioteca SGA;Azevedo, Aluísio, Rosa, Franco de, Rosado, Marcus;O cortiço;em quadrinhos;Ciranda Cultural;2019;2
704;Livro;Biblioteca SGA;Alencar, José de, Rosa, Franco de, Garcia, Arthur;Senhora;em quadrinhos;Ciranda Cultural;2019;2
705;Livro;Biblioteca SGA;Lobato, Monteiro, Silva, Fendy;Caçadas de Pedrinho;em quadrinhos;Ciranda Cultural;2016;2
706;Livro;Biblioteca SGA;Park, Mac;Boy x beast 3;batalha dos mundos: infernix;Fundamento Editora;2013;2
707;Livro;Biblioteca SGA;Park, Mac;Boy x beast 4;batalha dos mundos: tornados;Fundamento Editora;2013;2
708;Livro;Biblioteca SGA;Martins, Carlos Benedito;O que é Sociologia;;Brasiliense;2013;2
709;Livro;Biblioteca SGA;Bamam, Charles, Paz, Eriwelton, Pesso, Rodrigo Luiz Silva;O salto do gato;;Editora do IFRN;2019;2
710;Livro;Biblioteca SGA;Lobato, Monteiro;Urupês;e outros contos ;Ciranda Cultural;2019;1
711;Livro;Biblioteca SGA;Yancey, Rick;A quinta onda 1;;Editora Fundamentos ;2013;2
712;Livro;Biblioteca SGA;Abella, Deborah;Cidade Submersa;;Editora Fundamentos ;2014;2
713;Livro;Biblioteca SGA;Malerman, Josh;Caixa de pássaros ;;Intrínseca;2015;2
714;Livro;Biblioteca SGA;;Leveza infinita;;CJA Edições;2014;1
715;Livro;Biblioteca SGA;Assis, Machado de;Memórias póstumas de Brás Cubas;em quadrinhos;Ciranda Cultural;2019;2
716;Livro;Biblioteca SGA;Saint-Exupery, Antoine de;O pequeno príncipe;;Agir;2006;1
717;Livro;Biblioteca SGA;Dweck, Carol S.;Mindset;a nova psicologia do sucesso ;Objetiva;2017;2
722;Livro;Biblioteca SGA;;Versos de primeira lua;;Jovens Escribas;[s. d.];1
732;Livro;Biblioteca SGA;Varella , Drauzio ;Prisioneiras ;;Companhia das Letras;2017;1
747;Livro;Biblioteca SGA;Palumbo , Maura ;O Perfume das tulipas;;Duna Dueto;2017;2
748;Livro;Biblioteca SGA;Green, John;Tartarugas até lá embaixo;;Intrínseca;2017;2
749;Livro;Biblioteca SGA;Atwood, Margaret Eleanor;O conto da aia;;Rocco;2017;2
750;Livro;Biblioteca SGA;Palumbo , Maura ;Auschwitz: prisioneiro (sobrevivente) 186650;romance baseado na história de francisco Balkanyi;Duna Dueto;2017;3
751;Livro;Biblioteca SGA;Rowling, J. K;Animais Fantásticos:;os crimes de grindelwald;Rocco;2018;3
752;Livro;Biblioteca SGA;Carvalho, Gilberto de Abreu Sodré;O Advogado e o Imperador ;A história de um herói brasileiro ;Duna Dueto;2015;2
753;Livro;Biblioteca SGA;King, Stephen;A Pequena caixa de Gwendy;;Suma das Letras;2018;3
754;Livro;Biblioteca SGA;Atwood, Margaret Eleanor;Os testamentos;;Rocco;2019;4
755;Livro;Biblioteca SGA;FINLEY, Mark, LANDLESS, Peter;Viva com esperança;;Casa Publicadora Brasileira;2014;1
756;Livro;Biblioteca SGA;Confederação Nacional da Indústria;200 anos de independência: a indústria e o futuro do Brasil;;CNI;2022;1
757;Livro;Biblioteca SGA;King, Stephen;A metade sombria ;;Suma das Letras;2019;3
759;Livro;Biblioteca SGA;Lobato, Monteiro;Negrinha e outros contos ;;Ciranda Cultural;2019;2
760;Livro;Biblioteca SGA;Lobato, Monteiro;A chave do tamanho ;;Ciranda Cultural;2019;6
761;Livro;Biblioteca SGA;Lobato, Monteiro;Peter Pan ;;Ciranda Cultural;2019;7
762;Livro;Biblioteca SGA;Drummond, Regina ;Morte na neve ;;Duna Dueto;2018;1
766;Livro;Biblioteca SGA;King, Stephen;A incendiária ;;Suma das Letras;2018;3
767;Livro;Biblioteca SGA;King, Stephen;O iluminado ;;Objetiva;2012;3
768;Livro;Biblioteca SGA;Almeida, Silvio, Djamila, Ribeiro;Racismo estrutural;;Editora Jandaíra;2020;6
770;Livro;Biblioteca SGA;Lobato, Monteiro, Silva, Fendy;O saci;;Ciranda Cultural;2019;2
771;Livro;Biblioteca SGA;;Encontro paranormal;;CJA Edições;2014;2
772;Livro;Biblioteca SGA;Adiche, Chimamanda Ngozi, Romeu, Julia;O perigo de uma história única;;Companhia das Letras;2019;2
773;Livro;Biblioteca SGA;Sueli, Carneiro, Benedito, Vera Lúcia;Racismo, sexismo e desigualdade no Brasil;;Selo Negro;2011;6
774;Livro;Biblioteca SGA;Ribeiro, Djamila;Pequeno manual antirracista;;Editora Jandaíra;2020;6
776;Livro;Biblioteca SGA;Santo, Richard ;Maioria minorizada;um dispositivo analítico de racialidade;Telha;2020;2
777;Livro;Biblioteca SGA;Lobato, Monteiro;Reinações de Narizinho;;Ciranda Cultural;2019;2
778;Livro;Biblioteca SGA;Wiggins, Grant, McTiche;Planejamento para a compreensão;alinhando currículo, avaliação e ensino por meio do planejamento reservo;Penso;2019;6
779;Livro;Biblioteca SGA;Green, John;O teorema Katherine;;Intrínseca;2013;2
781;Livro;Biblioteca SGA;Cury, Augusto;Nunca desista de seus sonhos;;Sextante ;2015;2
782;Livro;Biblioteca SGA;Cury, Augusto;Superando o cárcere da emoção;;Planeta do Brasil;2015;3
784;Livro;Biblioteca SGA;Riter, Caio;Meu pai não mora mais aqui;;Biruta;2019;1
785;Livro;Biblioteca SGA;Lobato, Monteiro, Silva, Fendy;O picapau amarelo;;Ciranda Cultural;2019;2
786;Livro;Biblioteca SGA;Lobato, Monteiro, Silva, Fendy;Aritmética da Emília;;Ciranda Cultural;2019;2
787;Livro;Biblioteca SGA;Lobato, Monteiro, Silva, Fendy;Emília no país da gramática;;Ciranda Cultural;2019;2
788;Livro;Biblioteca SGA;Lobato, Monteiro, Silva, Fendy;O poço do Visconde;;Ciranda Cultural;2019;2
789;Livro;Biblioteca SGA;Assis, Machado de;Contos de Machado de Assis;;DCL;2003;6
790;Livro;Biblioteca SGA;Alencar, José de;Lucíola;;Martin Claret;2012;7
791;Livro;Biblioteca SGA;;Ciência para criança;uma Viagem Alucinante!;Ciranda Cultural;2012;1
792;Livro;Biblioteca SGA;BAINBRIDGE, Beryl;Cada um por si;Titanic;Companhia das Letras;1998;1
793;Livro;Biblioteca SGA;GARCÍA-CLAIRAC, Santiago;O livro invisível;;Edições SM;2015;1
794;Livro;Biblioteca SGA;Machado, Emerson;O invertigador de sótãos;;Duna Dueto;2009;1
795;Livro;Biblioteca SGA;;A legião estrangeira;;Siciliano;1992;1
796;Livro;Biblioteca SGA;Lobato, Monteiro, Simas, André;Dom quixote das crianças;;Ciranda Cultural;2019;1
797;Livro;Biblioteca SGA;RezendeEvil;Dois mundos, um herói;uma aventura não oficial da Minecraft;Objetiva;2015;1
798;Livro;Biblioteca SGA;Machado, Emerson;Diamantes invisíveis;lapide seus sentimentos. Use a neuroplasticidade;Gente;2022;3
799;Livro;Biblioteca SGA;PRIORE, Mary del;A viagem proibida;nas trilhas do outro;Planeta;2013;1
800;Livro;Biblioteca SGA;Cury, Augusto;O futuro da humanidade;;Arqueiro ;2005;2
801;Livro;Biblioteca SGA;HAZZAN, Samuel;Fundamentos de matemática elementar 5;combinatória, probabilidade;Atual ;2013;2
802;Livro;Biblioteca SGA;DOLCE, Osvaldo, POMPEO, José Nicolau;Fundamentos de matemática elementar10;geometria espacial, posição e métrica;Atual ;2013;2
803;Livro;Biblioteca SGA;DOLCE, Osvaldo, POMPEO, José Nicolau;Fundamentos de matemática elementar 9;geometria plana;Atual ;2013;2
804;Livro;Biblioteca SGA;Sacristán, José Gimeno, Salvaterra, Alexandre, Arroyo, Miguel González;Saberes e incertezas sobre o currículo;;Penso;2013;6
806;Livro;Biblioteca SGA;Humphreys, Cathy, Parker, Ruth, Rosa, Sandra Maria Mallmann, Simões, Maria César Gonçalves, Hauus, Márcia Maria de Freitas;Conversas númericas;;Penso;2019;1
807;Livro;Biblioteca SGA;Weinstein, Carol Simon, Novodvrsky, Ingrid;Gestão da sala de aula;lições da pesquisa e da prática para ;AMGH;2015;6
808;Livro;Biblioteca SGA;;Avaliação educacional e promoção escolar;;InterSaberes;2013;6
809;Livro;Biblioteca SGA;Gomes, Nilma Lino;O movimento negro educador;saberes construídos nas lutas por emancipação;Vozes;2017;6
810;Livro;Biblioteca SGA;Freire, Paulo;Pedagogia do oprimido ;;Paz e Terra;2022;6
811;Livro;Biblioteca SGA;Freire, Paulo;Pedagogia da autonomia;saberes necessários à prática educativa;Paz e Terra;2022;6
812;Livro;Biblioteca SGA;Bergmann, Jonathan;Aprendizagem invertida para resolver o problema do dever de casa;;Penso;2018;6
813;Livro;Biblioteca SGA;Burgos, Marcelo Baumann;A escola e o mundo do aluno;estudos sobre a construção social do aluno e o papel institucional da escola;Garamond;2014;6
814;Livro;Biblioteca SGA;Zabala, Antoni;Como trabalhar os conteúdos procedimentais em aula;;Artmed;1999;6
